ShortName,ISIN,Preis,CouponRate,Emittent,ValorSymbol,ValorNumber,Yield,DurationToWorst,SubscriptionPaymentDueDate,Restlaufzeit,Fälligkeit,Emissionsvolumen,ProductLineDesc,Währung,ClosingPerformance,ClosingDelta,BidVolume,BidPrice,Preis (Brief),Volumen (Brief),MidSpread,PreviousClosingPrice,LatestTradeDate,LatestTradeTime,OpeningPrice,DailyHighPrice,DailyLowPrice,OnMarketVolume,OffBookVolume,TotalTurnover,TotalTurnoverCHF,Land,Industrie,SecTypeDesc,BondListedFlag,BondDutyToReportFlag,SpecialFlagDesc,Schuldner,Mdy,Unnamed: 2,Rating_x,ESG,RTG_SP,INV,BB_COMPOSITE,Blend,Rating_y,ESG_MSCI,Rating,Domicil,LastCoupon,AccruedInterest,Dirty Price
0  CV 22-27,CH1155135838,90.8,,Cicor Technologies Ltd.,CIC21,115513583,,,20220121,,21.01.2027,60.2,Bonds - CHF Domestic,CHF,0.0,0.0,10000,89.8,93.4,22.0,3.9301,90.8,20230509.0,,,,,0,0,0.0,0.0,Switzerland,Electrical engineering & electronics,Convertible bond,1,1,,,,,,,,,,,,,,Domestic,2023-01-21,0.0,90.8
0  NBS 19-25,CH0485445982,95.8,,Nationwide Building Society,NBS19,48544598,2.236,2.058,20190711,2.11,11.07.2025,250.0,Bonds - CHF Foreign,CHF,0.0,0.0,200000,95.6,95.95,55.0,0.3654,95.8,20230609.0,,,,,0,0,0.0,0.0,United Kingdom,Real-estate companies,Bond,1,1,,,,,,,,,,,AAA,,AAA,Foreign,2022-07-11,0.0,95.8
0 ABBLTD 22-23,CH1167887285,99.5,,ABB Ltd,ABB22,116788728,,,20220325,,25.09.2023,275.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,99.51,99.58,150.0,0.0703,99.5,20230616.0,,,,,0,0,0.0,0.0,Switzerland,Misc. Industrials,Bond,1,1,,ABB Ltd,A3,,A-,Ja,,,,,,,A-,Domestic,2022-09-25,0.0,99.5
0 AKB 19-29,CH0419041436,89.1,,Aargauische Kantonalbank,AGK191,41904143,2.088,6.242,20190917,6.29,17.09.2029,100.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,87.95,-Market,0.0,0.0,89.1,20230531.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Aargauische Kantonalbank,,,AA+,Ja,,,,,,,AA+,Domestic,2022-09-17,0.0,89.1
0 AMAG 21-25,CH1141700521,96.2,,AMAG AG,AMG213,114170052,2.552,1.661,20211118,1.71,18.02.2025,260.0,Bonds - CHF Domestic,CHF,0.0,0.0,50000,96.1,96.35,200.0,0.2598,96.2,20230614.0,,,,,0,0,0.0,0.0,Switzerland,Transport,Bond,1,1,,AMAG AG,,,BBB-,Nein,,,,,,,BBB-,Domestic,2023-02-18,0.0,96.2
0 AMSSW 25 /EE,DE000A19W2L5,77.5,,ams-OSRAM AG,EU3272,40669152,,,20180305,,05.03.2025,600.0,Bonds - Non CHF,EUR,0.0,0.0,200000,76,78,200.0,2.5974,77.5,20230619.0,,,,,0,0,0.0,0.0,Eurobond EUR,Electrical engineering & electronics,Bond,0,0,,,,,,,,,,,,,,Foreign,2023-03-05,0.0,77.5
0 APPENZELL 16-31,CH0330939197,107.9,,Appenzeller Bahnen,APB16,33093919,,,20160715,,15.07.2031,50.0,Bonds - CHF Domestic,CHF,0.0,0.0,100000,85.3,-Market,0.0,0.0,107.9,,,,,,0,0,0.0,0.0,Switzerland,Transport,Bond,1,1,,,,,,,,,,,,,,Domestic,2022-07-15,0.0,107.9
0 BAL 19-26,CH0496692978,94.0,,Baloise,BAL192,49669297,2.198,3.264,20190925,3.32,25.09.2026,100.0,Bonds - CHF Domestic,CHF,0.0,0.0,200000,93.2,94.3,100.0,1.1733,94.0,20230605.0,,,,,0,0,0.0,0.0,Switzerland,Insurances,Bond,1,1,,,,,,,,,,,,,,Domestic,2022-09-25,0.0,94.0
0 BAL 19-29,CH0496692986,88.0,,Baloise,BAL193,49669298,2.248,6.264,20190925,6.32,25.09.2029,125.0,Bonds - CHF Domestic,CHF,0.0,0.0,75000,87.2,88.25,200.0,1.1969,88.0,20230615.0,,,,,0,0,0.0,0.0,Switzerland,Insurances,Bond,1,1,,,,,,,,,,,,,,Domestic,2022-09-25,0.0,88.0
0 BKB 19-34,CH0419041410,80.6,,Basler Kantonalbank,BSK191,41904141,2.103,11.175,20190823,11.23,23.08.2034,250.0,Bonds - CHF Domestic,CHF,0.0,0.0,200000,79.45,80.95,200.0,1.8703,80.6,20230615.0,,,,,0,0,0.0,0.0,Switzerland,Banks,Bond,1,1,,Basler Kantonalbank,,,AAA,Ja,,,,,,,AAA,Domestic,2022-08-23,0.0,80.6
0 BKJBAER 21-24,CH1120418079,100.0,,Bank Julius Bär,EUF098,112041807,,,20210625,,25.06.2024,500.0,Bonds - Non CHF,EUR,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond EUR,Banks,Bond,1,1,,,,,,,,,,,,,,Foreign,2022-06-25,0.0,100.0
0 BKUBSG 18-48,CH0438965599,100.0,,UBS Group AG,USF129,43896559,,,20181026,,26.10.2048,100.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2022-10-26,0.0,100.0
0 BKUBSG 18-48,CH0449619078,100.0,,UBS Group AG,USF130,44961907,,,20181227,,27.12.2048,100.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2022-12-27,0.0,100.0
0 BKUBSG 19-49,CH0449619094,100.0,,UBS Group AG,USF131,44961909,,,20190130,,30.01.2049,120.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2023-01-30,0.0,100.0
0 BKUBSG 19-49,CH0457206792,100.0,,UBS Group AG,USF132,45720679,,,20190130,,30.01.2049,120.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2023-01-30,0.0,100.0
0 BKUBSG 19-49,CH0483180987,100.0,,UBS Group AG,USF138,48318098,,,20190627,,27.06.2049,130.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2022-06-27,0.0,100.0
0 BKUBSG 19-49,CH0506668844,100.0,,UBS Group AG,UBG19,50666884,,,20191104,,04.11.2049,140.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2022-11-04,0.0,100.0
0 BKUBSG 20-50,CH0521617321,100.0,,UBS Group AG,UBG201,52161732,,,20200304,,04.03.2050,120.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2023-03-04,0.0,100.0
0 BKUBSG 20-50,CH0535271214,100.0,,UBS Group AG,UBG202,53527121,,,20200414,,14.04.2050,200.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2023-04-14,0.0,100.0
0 BKUBSG 20-50,CH0543827189,100.0,,UBS Group AG,UBG203,54382718,,,20200527,,27.05.2050,500.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Bond,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2023-05-27,0.0,100.0
0 BKUBSG 20-50,CH0547243250,100.0,,UBS Group AG,UBG204,54724325,,,20200522,,22.05.2050,100.0,Bonds - Non CHF,USD,0.0,0.0,0,,,0.0,,100.0,,,,,,0,0,0.0,0.0,Listed Foreign Currency Bond USD,Banks,Contingent Capital Bonds,1,1,,UBS Group AG,A3,,A-,Ja,,,,,,,A-,Foreign,2023-05-22,0.0,100.0
