ShortName;ISIN;ClosingPrice;CouponRate;IssuerNameShort;ValorSymbol;ValorNumber;YieldToWorst;DurationToWorst;SubscriptionPaymentDueDate;RemainingTermOfMaturity;MaturityDate;AmountInIssue;ProductLineDesc;TradingBaseCurrency;ClosingPerformance;ClosingDelta;BidVolume;BidPrice;AskPrice;AskVolume;MidSpread;PreviousClosingPrice;LatestTradeDate;LatestTradeTime;OpeningPrice;DailyHighPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;GeographicalAreaDesc;IndustrySectorDesc;SecTypeDesc;BondListedFlag;BondDutyToReportFlag;SpecialFlagDesc
0  CV 22-27;CH1155135838;90.8;;Cicor Technologies Ltd.;CIC21;115513583;;;20220121;;20270121;60188000;Bonds - CHF Domestic;CHF;0;0;28000;83.15;98.95;22000;17.3531;90.8;20230509;;;;;0;0;0;0;Switzerland;Electrical engineering & electronics;Convertible bond;1;1;
0  NBS 19-25;CH0485445982;96.25;;Nationwide Building Society;NBS19;48544598;1.95;2.114;20190711;2.19;20250711;250000000;Bonds - CHF Foreign;CHF;0;0;225000;96;96.45;165000;0.4677;96.25;20230524;;;;;0;0;0;0;United Kingdom;Real-estate companies;Bond;1;1;
0 ABBLTD 22-23;CH1167887285;99.44;;ABB Ltd;ABB22;116788728;;;20220325;;20230925;275000000;Bonds - CHF Domestic;CHF;0;0;50000;99.44;;0;0;99.44;20230511;;;;;0;0;0;0;Switzerland;Misc. Industrials;Bond;1;1;
0 AKB 19-29;CH0419041436;88.65;;Aargauische Kantonalbank;AGK191;41904143;2.051;6.297;20190917;6.38;20290917;100000000;Bonds - CHF Domestic;CHF;0.06;0.05;100000;88.5;89.15;100000;0.7318;88.6;20230519;;;;;0;0;0;0;Switzerland;Banks;Bond;1;1;
0 AMAG 21-25;CH1141700521;96.4;;AMAG AG;AMG213;114170052;2.282;1.717;20211118;1.8;20250218;260000000;Bonds - CHF Domestic;CHF;0;0;35000;96.2;96.6;100000;0.4149;96.4;20230523;;;;;0;0;0;0;Switzerland;Transport;Bond;1;1;
0 AMSSW 25 /EE;DE000A19W2L5;82.7;;ams-OSRAM AG;EU3272;40669152;;;20180305;;20250305;600000000;Bonds - Non CHF;EUR;0;0;0;;;0;;82.7;20230228;;;;;0;0;0;0;Eurobond EUR;Electrical engineering & electronics;Bond;0;0;
0 APPENZELL 16-31;CH0330939197;107.9;;Appenzeller Bahnen;APB16;33093919;;;20160715;;20310715;50000000;Bonds - CHF Domestic;CHF;0;0;100000;85.8;-Market;0;0;107.9;;;;;;0;0;0;0;Switzerland;Transport;Bond;1;1;
0 BAL 19-26;CH0496692978;94.5;;Baloise;BAL192;49669297;2.012;3.319;20190925;3.4;20260925;100000000;Bonds - CHF Domestic;CHF;0.75;0.7;100000;93.75;95.05;100000;1.3771;93.8;20230530;154125.99;94.5;94.5;94.5;10000;0;9450;9450;Switzerland;Insurances;Bond;1;1;
0 BAL 19-29;CH0496692986;87.9;;Baloise;BAL193;49669298;2.154;6.319;20190925;6.4;20290925;125000000;Bonds - CHF Domestic;CHF;0.11;0.1;50000;87.85;88.5;100000;0.7372;87.8;20230526;;;;;0;220000;194348;194348;Switzerland;Insurances;Bond;1;1;
0 BKB 19-34;CH0419041410;81.45;;Basler Kantonalbank;BSK191;41904141;2.15;11.231;20190823;11.31;20340823;250000000;Bonds - CHF Domestic;CHF;2.13;1.7;250000;81;81.7;100000;0.8605;79.75;20230530;125157.848;81.4;81.45;81.4;140000;0;113980;113980;Switzerland;Banks;Bond;1;1;
