ShortName;ISIN;ClosingPrice;CouponRate;IssuerNameShort;ValorSymbol;ValorNumber;YieldToWorst;DurationToWorst;SubscriptionPaymentDueDate;RemainingTermOfMaturity;MaturityDate;AmountInIssue;ProductLineDesc;TradingBaseCurrency;ClosingPerformance;ClosingDelta;BidVolume;BidPrice;AskPrice;AskVolume;MidSpread;PreviousClosingPrice;LatestTradeDate;LatestTradeTime;OpeningPrice;DailyHighPrice;DailyLowPrice;OnMarketVolume;OffBookVolume;TotalTurnover;TotalTurnoverCHF;GeographicalAreaDesc;IndustrySectorDesc;SecTypeDesc;BondListedFlag;BondDutyToReportFlag;SpecialFlagDesc
0  CV 22-27;CH1155135838;90.8;;Cicor Technologies Ltd.;CIC21;115513583;;;20220121;;20270121;60188000;Bonds - CHF Domestic;CHF;0;0;0;;99;13000;;90.8;20230509;;;;;0;0;0;0;Switzerland;Electrical engineering & electronics;Convertible bond;1;1;
0  NBS 19-25;CH0485445982;96.2;;Nationwide Building Society;NBS19;48544598;1.877;2.167;20190711;2.19;20250711;250000000;Bonds - CHF Foreign;CHF;0.16;0.15;125000;96;-Market;0;0;96.05;20230425;;;;;0;0;0;0;United Kingdom;Real-estate companies;Bond;1;1;
0 ABBLTD 22-23;CH1167887285;99.44;;ABB Ltd;ABB22;116788728;;;20220325;;20230925;275000000;Bonds - CHF Domestic;CHF;-0.01;-0.01;50000;99.4;99.55;250000;0.1508;99.45;20230511;160710.822;99.44;99.44;99.44;805000;0;800492;800492;Switzerland;Misc. Industrials;Bond;1;1;
0 AKB 19-29;CH0419041436;89;;Aargauische Kantonalbank;AGK191;41904143;1.961;6.35;20190917;6.38;20290917;100000000;Bonds - CHF Domestic;CHF;0.68;0.6;0;;-Market;0;;88.4;20230307;;;;;0;0;0;0;Switzerland;Banks;Bond;1;1;
0 AMAG 21-25;CH1141700521;96.5;;AMAG AG;AMG213;114170052;2.244;1.769;20211118;1.8;20250218;260000000;Bonds - CHF Domestic;CHF;0.1;0.1;35000;96.1;;0;0;96.4;20230511;95200.63;96.5;96.5;96.5;10000;0;9650;9650;Switzerland;Transport;Bond;1;1;
0 AMSSW 25 /EE;DE000A19W2L5;82.7;;ams-OSRAM AG;EU3272;40669152;;;20180305;;20250305;600000000;Bonds - Non CHF;EUR;0;0;0;;;0;;82.7;20230228;;;;;0;0;0;0;Eurobond EUR;Electrical engineering & electronics;Bond;0;0;
0 APPENZELL 16-31;CH0330939197;107.9;;Appenzeller Bahnen;APB16;33093919;;;20160715;;20310715;50000000;Bonds - CHF Domestic;CHF;0;0;0;;-Market;0;;107.9;;;;;;0;0;0;0;Switzerland;Transport;Bond;1;1;
0 BAL 19-26;CH0496692978;94.6;;Baloise;BAL192;49669297;1.916;3.372;20190925;3.4;20260925;100000000;Bonds - CHF Domestic;CHF;0.32;0.3;35000;93.75;;0;0;94.3;20230511;150439.704;94.6;94.6;94.6;500000;0;473000;473000;Switzerland;Insurances;Bond;1;1;
0 BAL 19-29;CH0496692986;88.6;;Baloise;BAL193;49669298;2.063;6.372;20190925;6.4;20290925;125000000;Bonds - CHF Domestic;CHF;0.57;0.5;20000;86.9;-Market;0;0;88.1;20230511;105853.095;88.6;88.6;88.6;40000;0;35440;35440;Switzerland;Insurances;Bond;1;1;
0 BKB 19-34;CH0419041410;81.45;;Basler Kantonalbank;BSK191;41904141;2.037;11.283;20190823;11.31;20340823;250000000;Bonds - CHF Domestic;CHF;1.12;0.9;20000;78.3;;0;0;80.55;20230511;125716.69;81.45;81.45;81.45;150000;0;122175;122175;Switzerland;Banks;Bond;1;1;
0 BKCSG 18-24;US225401AH17;100;;CSG;USF119;42147440;;;20180612;;20240612;375000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKCSG 18-24;USH3698DBT03;100;;CSG;USF118;42147433;;;20180612;;20240612;375000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKCSG 18-48;CH0438965599;100;;CSG;USF129;43896559;;;20181026;;20481026;100000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKCSG 18-48;CH0449619078;100;;CSG;USF130;44961907;;;20181227;;20481227;100000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKCSG 19-49;CH0449619094;100;;CSG;USF131;44961909;;;20190130;;20490130;120000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKCSG 19-49;CH0457206792;100;;CSG;USF132;45720679;;;20190130;;20490130;120000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKCSG 19-49;CH0483180987;100;;CSG;USF138;48318098;;;20190627;;20490627;130000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKCSG 20-60;CH0511762046;100;;CSG;USF144;51176204;;;20200131;;20600131;280000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKJBAER 21-24;CH1120418079;100;;Bank Julius B�r;EUF098;112041807;;;20210625;;20240625;500000000;Bonds - Non CHF;EUR;0;0;100000;95;-Market;0;0;100;;;;;;0;0;0;0;Listed Foreign Currency Bond EUR;Banks;Bond;1;1;
0 BKUBSG 19-49;CH0506668844;100;;UBS Group AG;UBG19;50666884;;;20191104;;20491104;140000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKUBSG 20-50;CH0521617321;100;;UBS Group AG;UBG201;52161732;;;20200304;;20500304;120000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKUBSG 20-50;CH0535271214;100;;UBS Group AG;UBG202;53527121;;;20200414;;20500414;200000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKUBSG 20-50;CH0543827189;100;;UBS Group AG;UBG203;54382718;;;20200527;;20500527;500000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Bond;1;1;
0 BKUBSG 20-50;CH0547243250;100;;UBS Group AG;UBG204;54724325;;;20200522;;20500522;100000000;Bonds - Non CHF;USD;0;0;0;;;0;;100;;;;;;0;0;0;0;Listed Foreign Currency Bond USD;Banks;Contingent Capital Bonds;1;1;
0 BKW 22-24;CH1160680141;97.45;;BKW AG;BKW22;116068014;1.961;1.436;20220218;1.46;20241018;200000000;Bonds - CHF Domestic;CHF;0.12;0.12;40000;96.9;-Market;0;0;97.33;20230511;145030.297;97.44;97.45;97.44;50000;0;48722.5;48722.5;Switzerland;Utilities;Bond;1;1;
